Title,Link,Views,Uploaded_by,Time_duration
Song Shoot Pe Serious Wali Ladai Ho Gayi😡,https://www.youtube.com/watch?v=VjjPmHmgfo8,3.9M views,7 months ago,    24:49  
Humare Hotel Room Me Paranormal Activity Ho Gayi😰 *No ClickBait* असली भूत,https://www.youtube.com/watch?v=K7EYeWu5DE0,1.4M views,7 months ago,    24:18  
Mujhe Bollywood Movie Mil Gayi😍| My Biggest News |,https://www.youtube.com/watch?v=3LeXTUmL45Y,1.1M views,7 months ago,    17:23  
Mussoorie Ki Sabse Bhootiya Jagah Chale Gaye Aadhi Raat Ko🥵| Lambi Dehar Mines,https://www.youtube.com/watch?v=aPVvvVKPrHI,3.2M views,7 months ago,    31:21  
My Biggest Investment Worth ₹7Crore💰,https://www.youtube.com/watch?v=1YgUK-A2Bnc,1.1M views,7 months ago,    13:55  
My First Live Performance With Parmish Verma 😍 Delhi - JLN Stadium,https://www.youtube.com/watch?v=618bxxlnOQM,1.6M views,7 months ago,    18:52  
Parmish Bhai Ne Meri Lamborghini Book Kardi😍,https://www.youtube.com/watch?v=ccnjYke7I1I,1.8M views,7 months ago,    19:58  
Bmw 340i Ya Mercedes 300D ? Confused 🥲,https://www.youtube.com/watch?v=0fnbFSORRZg,1M views,7 months ago,    18:08  
Mercedes C300D Final Kardi Ab😍,https://www.youtube.com/watch?v=mhoHN8Da550,1.1M views,7 months ago,    15:35  
Porsche Ka VIP Number Aa Gaya😍,https://www.youtube.com/watch?v=rgR9xLyyL4E,1.4M views,7 months ago,    21:48  
1937 Ki Vintage Cars Ko Restore Karenge Ab😍 *First Time On My Channel*,https://www.youtube.com/watch?v=aYiMImS2T9E,1.2M views,7 months ago,    22:01  
Porsche Ke Chakkar Me Gangster Se Dhamki Mil Gayi🥵,https://www.youtube.com/watch?v=eprTtwk_S_s,1.5M views,7 months ago,    14:20  
Finally Parmish Bhai Ki Gwagon Chala Hi Di😍,https://www.youtube.com/watch?v=Pp6kY0BleMc,1.6M views,7 months ago,    17:43  
Porsche Dikha Ke Ladki Set Karli😍,https://www.youtube.com/watch?v=XF49o4tkQiQ,1.7M views,7 months ago,    18:32  
Parmish Bhai Ka Challenge 1 Million Comments Ka😍 Poora Kardo 🙏🏻,https://www.youtube.com/watch?v=nWlZmKLnUPs,1.8M views,7 months ago,    15:05  
Joginder Ka Systumm Hang Kar Denge😡,https://www.youtube.com/watch?v=qajv0lqeGEs,3.3M views,7 months ago,    26:54  
Fazilpuria Bhai Ke Shoot Pe Russian Se Mulakat Ho Hi Gayi😍 @fazilpuria,https://www.youtube.com/watch?v=gyXbga9ZumU,2.8M views,7 months ago,    21:33  
Thara Bhai Joginder Dobara Aa Gaya😡,https://www.youtube.com/watch?v=tnHwti9fvzU,2.2M views,7 months ago,    17:44  
I Am Joining Politics 😍,https://www.youtube.com/watch?v=4teEBojCiy8,1.7M views,7 months ago,    30:58  
Gwagon Aur Hummer Dono Bula Li Fazilpuria Bhai Ne😍,https://www.youtube.com/watch?v=7MxtblYvn0Q,1.9M views,7 months ago,    17:48  
Porsche Aaj Gurgaon Ki Barish Me Doob Jati🥵 Reality Of Supercars👎🏻,https://www.youtube.com/watch?v=Az6ZPRQ_yRo,1.4M views,7 months ago,    12:11  
Finally Me मामा Ban Gaya😍,https://www.youtube.com/watch?v=3y0ivJYy2ao,2.2M views,7 months ago,    12:46  
Parmish Bhai Apni Gwagon Deke Porsche Le Gaye😍,https://www.youtube.com/watch?v=xAMDYE8PhZw,3.3M views,8 months ago,    20:24  
Rewari Meetup Me Jai Shree Ram Ke Naare Lagwa Diye😍,https://www.youtube.com/watch?v=iL_GhrBt3KU,1.7M views,8 months ago,    19:19  
Open Challenge To Paras Thakral | Porsche vs Audi TT 😍,https://www.youtube.com/watch?v=aw7UwDy4Ef4,1.7M views,8 months ago,    19:01  
Porsche Ke Bad Ab Ayegi Rubicon😍,https://www.youtube.com/watch?v=ZcH9Xeal9z4,1.2M views,8 months ago,    12:06  
Porsche Ka Real Speed Test😍 *Unbelievable*,https://www.youtube.com/watch?v=VoYF7_TQ89c,1.5M views,8 months ago,    16:22  
This is Serious 🙏🏻,https://www.youtube.com/watch?v=Nkkkp5-NDsM,1.8M views,8 months ago,    12:26  
Finally Porsche Ready Hoke Aa Hi Gayi😍,https://www.youtube.com/watch?v=GCea8IsoRks,1.7M views,8 months ago,    21:58  
Parmish Bhai Ki Gwagon Ke Sath Porsche Ki Drag Race😍,https://www.youtube.com/watch?v=TGAsUGv9q6U,1.5M views,8 months ago,    16:59  
Parmish Verma Bhai Gifted Me His G-Wagon😍,https://www.youtube.com/watch?v=1dpBuKi08B8,4M views,8 months ago,    18:50  
Chandigarh Me Black Fortuner Ke Peeche Haters Ki Gaadiya Lag Gayi 🥵,https://www.youtube.com/watch?v=jPgqIzbmVCQ,1.4M views,8 months ago,    14:20  
Thar के Bad अब Porsche Hogi भगवा रंग की 😍,https://www.youtube.com/watch?v=36MZpfV88tg,1.4M views,8 months ago,    21:42  
Porsche Vs Defender Ki Drag Race Ready😍,https://www.youtube.com/watch?v=eq-xUI15oxc,1.2M views,8 months ago,    14:38  
Finally Apni Porsche Ready Ho Gayi😍,https://www.youtube.com/watch?v=9iAp8PrbnLM,1M views,8 months ago,    16:08  
Finally Porsche Pe PPF Ka Kam Shuru😍,https://www.youtube.com/watch?v=oxAUJx7x-jw,1.1M views,8 months ago,    16:42  
Police Complaint On Me🙏🏻,https://www.youtube.com/watch?v=-wkcP_i8Oe0,1.7M views,8 months ago,    21:28  
Faridabad Meetup Went Crazy😍,https://www.youtube.com/watch?v=F_a3m53-l1s,2.7M views,8 months ago,    15:11  
Porsche Aur @TheUK07Rider Ki Mustang Ki Race Hogi Ab😍,https://www.youtube.com/watch?v=F213HCJBI-o,1.7M views,8 months ago,    19:26  
Finally Papa Ko Porsche Me Betha Diya😍,https://www.youtube.com/watch?v=6AvXxWjiEqU,2M views,8 months ago,    19:03  
Porsche Le Aaya Haters Ke Muh Band Kardiye😍 | Elvish Yadav X @FusionCarsIndia,https://www.youtube.com/watch?v=OOa-TqBPung,4.7M views,8 months ago,    22:18  
A Big Surprise For You All😍,https://www.youtube.com/watch?v=Ebshf9ZJIiU,895K views,8 months ago,    13:05  
Black Fortuner Ki Modification Shuru😍,https://www.youtube.com/watch?v=7BLp5S1qVag,1M views,8 months ago,    17:05  
Mc Stan Vs Sidhu Moosewala Debate Ho Gayi🥵,https://www.youtube.com/watch?v=cAcBaXxrzp0,1.1M views,8 months ago,    18:16  
Haters Ne Verna Ka Sheesha Tod Diya😡,https://www.youtube.com/watch?v=RIEeqTTqWpI,1.9M views,8 months ago,    18:37  
Black Fortuner Dekh Ke Sabke Hosh Ud Gaye😍,https://www.youtube.com/watch?v=S-tDB4eT5oI,1.1M views,8 months ago,    12:35  
Taking Delivery Of My Black Fortuner Legender 😍,https://www.youtube.com/watch?v=WyhgqNIGXSw,1.8M views,8 months ago,    21:38  
Finally Apni Black Fortuner Ready Ho Gayi😍,https://www.youtube.com/watch?v=CwnbgikVJDE,1.1M views,8 months ago,    13:18  
Aaj Mil Hi Gaya Joginder Aamne Saamne😂,https://www.youtube.com/watch?v=3HOBzRJc-kQ,5.1M views,8 months ago,    24:15  
Aaj Joginder Se Aamna Saamna Hoga😂,https://www.youtube.com/watch?v=pXhSY4eu6TM,2.7M views,8 months ago,    25:43  
Ab Compromise Nahi Hoga😂,https://www.youtube.com/watch?v=2KXRjkPmKN4,1M views,9 months ago,    15:55  
Joginder Ke Sath Compromise Ho Gaya😂,https://www.youtube.com/watch?v=qzdiY6NGIU4,1.2M views,9 months ago,    15:00  
Aao Iski Badmashi Nikale😂,https://www.youtube.com/watch?v=4MK6GFKYWpw,2.5M views,9 months ago,    18:08  
Black Wrap On Fortuner Start😍,https://www.youtube.com/watch?v=u4E0KGmb9tE,942K views,9 months ago,    11:40  
Fortuner Pe Black Wrap Krwa Liya😍,https://www.youtube.com/watch?v=Q2jjyAC9jr4,1.1M views,9 months ago,    14:35  
Mummy Ghar Chord Ke Chali Gayi😭,https://www.youtube.com/watch?v=Y9s2wm1qzMc,996K views,9 months ago,    17:20  
Finally Anoop Bhai Ki Fortuner Ka VIP Number Aa Gaya😍,https://www.youtube.com/watch?v=FelW_GoouAU,699K views,9 months ago,    11:12  
Finally Porsche Ki Delivery Date Reveal😍,https://www.youtube.com/watch?v=aSnAsaN8uRI,753K views,9 months ago,    9:58  
Driving Rolls Royce Ghost Worth ₹9 Crore🤑,https://www.youtube.com/watch?v=hbXW3kSOSQE,1.8M views,9 months ago,    18:46  
Hater Ne Ghar Me Ghuskar Fortuner Puncture Kardi😡,https://www.youtube.com/watch?v=pvmByKEb5Jc,807K views,9 months ago,    15:45  
Nakli Bandook Prank On Mummy😂,https://www.youtube.com/watch?v=TgBeou4Kc-0,1.7M views,9 months ago,    13:46  
Nakli Bandook Prank On Papa😂,https://www.youtube.com/watch?v=1LMmtfwTJOM,2.1M views,9 months ago,    13:26  
Meri New Cycle 😍,https://www.youtube.com/watch?v=nqBJG55So6g,1.1M views,9 months ago,    10:03  
Welcome Home New Member 😍,https://www.youtube.com/watch?v=FyrcrHJ5jfw,984K views,9 months ago,    13:11  
Finally Ek Aur Fortuner Aagyi 😍 New Car Delivery ❤️🙏🏻,https://www.youtube.com/watch?v=njHMchEiZEE,1.7M views,9 months ago,    17:03  
Shadi Me Bina Invitation Ghus Gaye🤣,https://www.youtube.com/watch?v=BWAKoPoshZQ,1.7M views,9 months ago,    15:42  
₹7 Lakh Ke Shoes Papa Pe Bhi Prank Kar Diya🤣,https://www.youtube.com/watch?v=Lf267hfenNg,1M views,9 months ago,    18:36  
₹7 Lakh Ke Shoes (Air Dior) Le Aaya💰 Mummy’s Insane Reaction🤣,https://www.youtube.com/watch?v=dqnaH_wn0uQ,3.8M views,9 months ago,    24:08  
Gwagon Ka Baap Mil Gaya ₹3Crore😍,https://www.youtube.com/watch?v=PyBnvut1N3U,1.1M views,9 months ago,    18:25  
Finally Welcome Back To My Channel❤️🙏🏻,https://www.youtube.com/watch?v=hKY5jlawhOc,770K views,9 months ago,    12:09  
Police Wale Se Ladai Ho Gayi😡,https://www.youtube.com/watch?v=RnJF0B2Lvdk,1.1M views,9 months ago,    15:47  
Finally Manish Bhai Ki Shadi Ki Shopping kar Hi Li😍,https://www.youtube.com/watch?v=YO_lBFVEfIA,878K views,10 months ago,    15:11  
Shoot Pe Ladkio Ne Desi Hukkah Try Kara😂,https://www.youtube.com/watch?v=YADkjI1oObw,1.7M views,10 months ago,    20:46  
Finally Shoot Pe Porsche Sabko Pasand Agyi😍,https://www.youtube.com/watch?v=tucLWrXqJJU,1.2M views,10 months ago,    14:49  
Car Collection Worth 100 Crores😍Next Car Ferrari,https://www.youtube.com/watch?v=oWBzr-KzgVE,1.3M views,10 months ago,    16:43  
Ab 1 Nahi 2 Porsche Boxter Aari Ha😍,https://www.youtube.com/watch?v=HhFRWu57vKY,1M views,10 months ago,    15:30  
Finally Porsche Mummy Papa Ko Bhi Dikha Di😍,https://www.youtube.com/watch?v=3eWE4YwSd2A,1.8M views,10 months ago,    12:49  
Finally Porsche Ko Ghar Le Hi Aaya😍,https://www.youtube.com/watch?v=5xu2T2khOGU,2.5M views,10 months ago,    17:47  
Finally Naye Ghar Ka Interior Aur Porsche Ki Delivery Date Fix❤️,https://www.youtube.com/watch?v=LNyt_i5JsIo,787K views,10 months ago,    10:58  
Finally Porsche Boxter Done Kardi❤️😎Delivery In 1 Week,https://www.youtube.com/watch?v=2LCAjVkexp8,1.1M views,10 months ago,    16:56  
Mustang Gt Ya Porsche ?Kaunsi Lu,https://www.youtube.com/watch?v=lXgCgD60l1o,793K views,10 months ago,    17:24  
Finally Mustang Gt Se Drag Race Karli😎,https://www.youtube.com/watch?v=obMWsczu3Vo,3.9M views,10 months ago,    16:11  
Finally Mustang Gt Gharwalo Ne Final Kardi😎🙏🏻,https://www.youtube.com/watch?v=UnoQUB0fl40,984K views,10 months ago,    20:02  
Indian Custom Police Caught Us🥵(Dubai To India Gold) *No Clickbait*,https://www.youtube.com/watch?v=KUFVyVoIvp8,961K views,10 months ago,    12:36  
Dubai Me Sona Mitti Barabar Rate Pe🥵*SHOCKED*,https://www.youtube.com/watch?v=ZwO_EEy2ZwQ,878K views,10 months ago,    15:38  
Aisi Mustang Gt Final Kari Hai Yaha Se  ❤️,https://www.youtube.com/watch?v=FMaZp_ILXHg,967K views,10 months ago,    18:53  
Dubai Ka Naya Sal With Mc Square Bhai  And Guru Randhawa🇮🇳🇦🇪,https://www.youtube.com/watch?v=RDLdZOBNXsg,1.2M views,10 months ago,    13:34  
Finally Land Cruiser V8 Me Desert Safari Kar Hi Li😭,https://www.youtube.com/watch?v=98BkaeWx2Es,1.2M views,10 months ago,    13:35  
Mustang Gt Ya Dodge Challenger😎Kaunsi Import Karu?😭,https://www.youtube.com/watch?v=gH7E9iukKtg,1.1M views,10 months ago,    17:44  
Finally Pehle Mustang Gt Fir G-Wagon❤️,https://www.youtube.com/watch?v=7fa3Ze50Nk0,1.2M views,10 months ago,    17:43  
Finally Dubai Se Gwagon Import @TheUK07Rider Bhai Krwa Ke Denge❤️,https://www.youtube.com/watch?v=yN4Ry88RRig,3.3M views,10 months ago,    17:51  
Dubai जाते Hue Airport पे Customs Walo से Hui Behas😡,https://www.youtube.com/watch?v=-Qge-pAZpY4,761K views,10 months ago,    16:20  
Gwagon Ki Update❤️Kitne Din Aur?,https://www.youtube.com/watch?v=HK3lydgclMA,737K views,10 months ago,    19:29  
My First Live Concert With Mc Square And Paradox❤️🙏🏻,https://www.youtube.com/watch?v=0xT_V-Q-mHU,3M views,10 months ago,    20:45  
My Gurgaon- Delhi Me Meetup❤️ And Show,https://www.youtube.com/watch?v=_G-JXeEa_ZY,644K views,10 months ago,    18:40  
Systumm Clothing Launched❤️ Ek Bhai Ko Bhi Dedi @souravjoshivlogs7028,https://www.youtube.com/watch?v=7MmP8nIGA7Y,827K views,10 months ago,    9:05  
Archit की लड़ाई Ho Gayi😡 Bhaichara On Top😎,https://www.youtube.com/watch?v=OvrJaTrWda8,696K views,10 months ago,    14:00  
Finally Naye Ghar Ka Interior Decide Hogya ❤️💰,https://www.youtube.com/watch?v=XJDDK-7pcMs,1M views,10 months ago,    13:24  
I’m With You Rowhi Rai😎 | My Reply |,https://www.youtube.com/watch?v=1j4bbVNWnmQ,1.4M views,10 months ago,    18:38  
Fifa Final Me Messi Ne Nuksan Karwa Diya😫,https://www.youtube.com/watch?v=ey-FGT4FGdg,574K views,10 months ago,    14:21  
Mc Square Or Paradox Bhai Ke Show Me Humara Meetup Hogya😍,https://www.youtube.com/watch?v=bYC-BFKitW0,1M views,10 months ago,    13:17  
Open Challenge To @TheUK07Rider 😡,https://www.youtube.com/watch?v=gMR6vIICXn4,897K views,11 months ago,    10:13  
My Biggest Announcement On This Channel❤️🙏🏻,https://www.youtube.com/watch?v=A8sioYJkWQA,855K views,11 months ago,    22:14  
Papa Ne Cigarette Peete Dekhliya🥵,https://www.youtube.com/watch?v=bq6Iy3lWYAg,1.8M views,11 months ago,    14:02  
Buying Horse Farm Worth ₹20Crore💰😎,https://www.youtube.com/watch?v=2UmibMyUhFg,918K views,11 months ago,    21:41  
Finally Isne I Love You Bol Hi Diya😍,https://www.youtube.com/watch?v=ZcIt1C3T1Ic,1.4M views,11 months ago,    19:07  
Selling My House💰💰*Emotional Moment🥹*,https://www.youtube.com/watch?v=muURg8zRwpA,816K views,11 months ago,    13:00  
Ram Mandir के Chakkar में Aisi Taisi हो गई 😰,https://www.youtube.com/watch?v=sgUCxuyTeSs,946K views,11 months ago,    12:07  
₹125000💰Ka Nuksan Kardiya Roadtrip Se Pehle🥵 *No ClickBait*,https://www.youtube.com/watch?v=IurDpfWnWiI,760K views,11 months ago,    17:58  
Went Inside The Most Haunted Place Of Gurgoan🥵( Ashiana Sector 50)No Clickbait,https://www.youtube.com/watch?v=YhzEyfhGy70,2.2M views,11 months ago,    34:10  
Chandni Chowk में Hui Serious Wali  लड़ाई🥵,https://www.youtube.com/watch?v=bJ6SLNyl_fE,672K views,11 months ago,    11:38  
Mere School Friend Ki Shadi❤️🤣,https://www.youtube.com/watch?v=J_VD1UObxq4,658K views,11 months ago,    10:04  
Ready For Mustang GT❤️,https://www.youtube.com/watch?v=T9ZG1gLzTNw,764K views,11 months ago,    11:33  
Meeting My College Best Friend After 6 Years😍❤️,https://www.youtube.com/watch?v=G48mdNUgGDU,1.4M views,11 months ago,    13:33  
Surprise For You All❤️❤️ Recorded Our New Song🙏🏻🙏🏻,https://www.youtube.com/watch?v=iKzdQmYYBdc,622K views,11 months ago,    11:59  
G Wagon Ka Naya Model Miss Hogya🥵 *Big Mistake*,https://www.youtube.com/watch?v=kfkEZH8o9B8,1M views,11 months ago,    18:16  
Anoop Master Ji  Ke Ghar Me Bhoot Hai 🥵*No Clickbait * @FaridabadRockers,https://www.youtube.com/watch?v=eJeDiGyx9Gk,1M views,11 months ago,    15:58  
₹30 Lakh 💰Ka Nuksan Share Market Me🥵 Prank On Mummy,https://www.youtube.com/watch?v=znQ3rxgkHVQ,1.3M views,11 months ago,    20:06  
₹17 Lakh Ka VIP Number💰 Bidding For Gwagon🚨,https://www.youtube.com/watch?v=vsxN-pT5Wug,1.2M views,11 months ago,    10:14  
Papa Ne Daant Diya Shadi Me Jaate Hue🥵,https://www.youtube.com/watch?v=Ax0uRiVKXc0,1.3M views,11 months ago,    12:34  
Gwagon Ka VIP Number💰🚨,https://www.youtube.com/watch?v=cbUVQ00PXtU,822K views,11 months ago,    11:58  
Breakup Ke Bad Shadi🥵,https://www.youtube.com/watch?v=wsz2sKgEIMo,743K views,11 months ago,    14:38  
Gwagon Ki Important Update❤️😎,https://www.youtube.com/watch?v=02GsCdEbLXk,910K views,11 months ago,    23:18  
One More Car Added To The Group🙏🏻❤️,https://www.youtube.com/watch?v=BIX2Fo0RYJQ,933K views,11 months ago,    10:49  
Mere Liye Ladki Dekhni Shuru😍 *No Clickbait*,https://www.youtube.com/watch?v=iLk8QBmWYSM,1.1M views,11 months ago,    12:50  
Uncle Se Ladayi Hogyi Aamne Saamne 😡,https://www.youtube.com/watch?v=MsWPuOQFFNM,5.6M views,11 months ago,    16:31  
Humari Society Me Uncle Se Ladayi Hogyi😡,https://www.youtube.com/watch?v=lELQ2b0bhkg,1.4M views,11 months ago,    13:41  
Shoot पे Anoop bhai का पैर टूट गया 🥵 *No Clickbait*,https://www.youtube.com/watch?v=8IFPTs-Ld_g,764K views,11 months ago,    15:19  
Verna Modify Hoke Vapas Aagyi❤️🧿,https://www.youtube.com/watch?v=pd82B_ebzPQ,870K views,11 months ago,    13:41  
1 Nahi Ab 2 Gwagon Aari Hai❤️🙏🏻,https://www.youtube.com/watch?v=KqlO2cI0GYY,813K views,11 months ago,    11:24  
Gwagon Delivery Date Reveal😎❤️,https://www.youtube.com/watch?v=P1g0fBuPkpI,903K views,11 months ago,    13:31  
Itne Salo Baad Naya Ghar Dekha Isne🥵 @KomalYadavs,https://www.youtube.com/watch?v=ISmesRVXYIc,3.4M views,1 year ago,    15:37  
Rishte Walo Ke Liye Chai Banayi Zindagi Me First Time🥵,https://www.youtube.com/watch?v=aYXYr8bfkoI,758K views,1 year ago,    15:37  
Faridabad Ki Nakli Police 🚨*Scam*,https://www.youtube.com/watch?v=zZMppRTu6lo,816K views,1 year ago,    15:18  
Gwagon Booking Done🙏🏻❤️ Today🧿,https://www.youtube.com/watch?v=xvAXTzhKi9E,1M views,1 year ago,    13:44  
Celebrating With Paradox And Mc Square Bhai❤️❤️,https://www.youtube.com/watch?v=cDhVb07TYFk,1.6M views,1 year ago,    15:39  
Revealing My New Car🙏🏻💰❤️ Gwagon Ya Bmw?,https://www.youtube.com/watch?v=R7ei6D0IIRQ,980K views,1 year ago,    12:46  
Asking 2 Crores💰 For My New Car❤️,https://www.youtube.com/watch?v=qrOINUMuZMw,2.2M views,1 year ago,    14:58  
Gaadi Final Hogyi🙏🏻❤️,https://www.youtube.com/watch?v=x2ZK74kaYws,1M views,1 year ago,    17:43  
Bmw Lele Fir Gwagon Na Mili Toh?🥺,https://www.youtube.com/watch?v=yfKzVWwtXh8,880K views,1 year ago,    14:34  
Gwagon Nahi Mili Toh Dusri Kaunsi?🥺,https://www.youtube.com/watch?v=qFZB11xODlQ,914K views,1 year ago,    12:35  
Gwagon Ki Approach Germany Tak Poch Gayi🙏🏻😎,https://www.youtube.com/watch?v=cNRyqjcOk7s,950K views,1 year ago,    13:29  
Gwagon Ki Sabse Badi Dikkat🥵 Only You Can Help🙏🏻,https://www.youtube.com/watch?v=vTKkqIc_BD0,812K views,1 year ago,    13:42  
Gwagon Ko Customize Kardia😎❤️,https://www.youtube.com/watch?v=pc4ysm5xjgw,1.7M views,1 year ago,    20:00  
Scorpio N Vs Fortuner Legender Drag Race😎 *Unbelievable Results* @KARANSEHGALVLOGS,https://www.youtube.com/watch?v=lgM1w7fzbpA,2.3M views,1 year ago,    17:00  
Gwagon Done Hogyi 🙏🏻❤️ *No Clickbait*,https://www.youtube.com/watch?v=vpLpyTOEFjQ,961K views,1 year ago,    13:42  
Got My Verna Back🥹इतने Time बाद ❤️,https://www.youtube.com/watch?v=_AgIbTNo1pA,831K views,1 year ago,    15:37  
Desi Mom Reacting To Instagram Models😂,https://www.youtube.com/watch?v=84_MW_JD-0w,3.1M views,1 year ago,    15:23  
Apni आँखों Se Live Accident Dekha  Sirf 2 Second Se बचे 🥵,https://www.youtube.com/watch?v=qB-I_4nsEY8,765K views,1 year ago,    12:28  
Easy Tareeke Se Paisa kaise Kamaye💰*No Clickbait *,https://www.youtube.com/watch?v=66VsvQVMSoc,677K views,1 year ago,    15:09  
Ajju Bhai Ke Birthday Pe Galat Scene Hogya🥵,https://www.youtube.com/watch?v=TswnZfKTdwU,1M views,1 year ago,    17:36  
Boht Badi Good News❤️❤️,https://www.youtube.com/watch?v=m-EqJzkJZCE,829K views,1 year ago,    11:03  
Fortuner Me Lag Gaya Mota Paisa🥵*No Clickbait*,https://www.youtube.com/watch?v=XrbNvK96ulE,794K views,1 year ago,    14:02  
Fortuner Me Aayi Badi Dikkat🥵*No Clickbait*,https://www.youtube.com/watch?v=mfrBgY-5l5o,678K views,1 year ago,    14:05  
Patako से घर में आग लग गई 🥵*No Clickbait *,https://www.youtube.com/watch?v=pcmqLsDvrok,2.9M views,1 year ago,    15:55  
India Vs Pakistan ke Chakkar Me ₹400000💰Ka Nuksaan😅*No Clickbait *,https://www.youtube.com/watch?v=FdoVeLKVmfU,1M views,1 year ago,    11:39  
Driving Ajju Bhai Ki Defender For The First Time😍,https://www.youtube.com/watch?v=sO1NZJGal14,1.8M views,1 year ago,    20:04  
Gaadi वाले चोर पकड़े गये 😎😎,https://www.youtube.com/watch?v=eLZjtSjcQg0,903K views,1 year ago,    13:56  
My New Car - Toyota Hyryder Or Grand Vitara💰,https://www.youtube.com/watch?v=mwnSyiOdiew,805K views,1 year ago,    16:42  
Verna Bech Di🥺 Final Goodbye💔,https://www.youtube.com/watch?v=cmnQtygpeIo,1M views,1 year ago,    18:21  
Fortuner में चोरी Hogyi😓 *No Clickbait*,https://www.youtube.com/watch?v=15QGPFif2es,1.1M views,1 year ago,    14:48  
Radio Pe Aagya Tumhara Bhai❤️,https://www.youtube.com/watch?v=eOinisw1dFM,508K views,1 year ago,    10:01  
Diwali Party Pe ₹150000💰 Jeet Gaya *Mota Clickbait*,https://www.youtube.com/watch?v=jERkHfPuDCs,868K views,1 year ago,    18:19  
BMW vs KTM Race Kaun Jeeta😎,https://www.youtube.com/watch?v=45hDFMS7myI,828K views,1 year ago,    13:31  
Iphone 14 Pro Max Kharab Hogya😤*₹150000💰 Barbaad*,https://www.youtube.com/watch?v=ZMVPif3tj_M,636K views,1 year ago,    11:01  
Celebrating Karwa Chauth With My Girlfriend ❤️🌙 *Clickbait*,https://www.youtube.com/watch?v=oTvu35adjw0,2.6M views,1 year ago,    13:26  
Bought Firecrackers Worth ₹2.5 Lakhs💰🔥 *No Clickbait *,https://www.youtube.com/watch?v=KHBEjzjPPpE,3.7M views,1 year ago,    15:19  
Buying Audi A6 Worth ₹70Lakhs💰,https://www.youtube.com/watch?v=U45fQW8y5hc,770K views,1 year ago,    13:42  
₹150000💰Phook Diye Finally Iphone 14 Pro Max❤️,https://www.youtube.com/watch?v=N-sypvUL56Q,1.8M views,1 year ago,    14:06  
Bhaichara Kharab Hogya Kya?💔,https://www.youtube.com/watch?v=yOdRIsO8-Ew,1M views,1 year ago,    15:15  
Kataria Ki Thar Asli Me Doob Gayi🥵 *No Clickbait *,https://www.youtube.com/watch?v=NEo1FEcZu9g,2M views,1 year ago,    20:03  
Itna Danger Accident🥵 *Himachal To Gurgaon* Trip Ends💔,https://www.youtube.com/watch?v=xqEvOyoPd5M,887K views,1 year ago,    13:50  
Is Baar Hadd Ho Gayi😡गाड़ी पे फिर हमला।,https://www.youtube.com/watch?v=BkMl3BQkk_Y,1.3M views,1 year ago,    17:18  
Reacting To Adipurush 😤*Honest Opinion *,https://www.youtube.com/watch?v=HhbE-BrH6jE,777K views,1 year ago,    17:07  
Himachal Ki Sabse Bhootiya Jagah🥵आज तक कोई नही जा पाया।,https://www.youtube.com/watch?v=Cn9PLJTfPyw,684K views,1 year ago,    14:54  
Haters Ne Hindu Wala Sticker Hata Diya🙏🏻,https://www.youtube.com/watch?v=Gkpp9dibyZA,2.1M views,1 year ago,    12:36  
Haryana Toll Pe Hui Ladai😤 *No Clickbait* (Gurgaon To Himachal),https://www.youtube.com/watch?v=qeMMpZoaMCY,2M views,1 year ago,    20:51  
Ladki Ki Fake Id Banake Archit Ko Fasaya🤣,https://www.youtube.com/watch?v=Fz_D-EOYX78,5M views,1 year ago,    30:58  
Birthday Pe मेरी लड़की से लड़ाई Hogayi😡,https://www.youtube.com/watch?v=bkCiJnMFUfE,1M views,1 year ago,    18:20  
We Earned ₹1 Crore 💰💰 *No Clickbait *,https://www.youtube.com/watch?v=Vyz3iJX_qkc,708K views,1 year ago,    14:14  
Birthday Pe Hogayi Serious Ladai🥵,https://www.youtube.com/watch?v=TgbEJ_QDjmw,833K views,1 year ago,    16:30  
Kataria Ka Birthday 🎂🔥,https://www.youtube.com/watch?v=LoR5pz-ojgY,1.5M views,1 year ago,    18:08  
Archit Ki Girlfriend Revealed 😍😂,https://www.youtube.com/watch?v=NMgrJXfPWlM,729K views,1 year ago,    12:28  
Club Me Ek Ladki Ne Mere Sath Ye Kara🤣,https://www.youtube.com/watch?v=1bMjTPXxmzU,507K views,1 year ago,    14:45  
Chandigarh Ke Club Me Ladai Hogyi😡,https://www.youtube.com/watch?v=gzSdqrKKeAI,793K views,1 year ago,    11:45  
Haryanvi Boys Trying Pedicure For The First Time😂,https://www.youtube.com/watch?v=UUSxgt0BVXU,1.2M views,1 year ago,    22:41  
Ladki के Peeche मारपीट Hogyi😡😡,https://www.youtube.com/watch?v=bGbhG9ZUqwM,1.6M views,1 year ago,    17:04  
Buying Iphone 14 Pro Max 1TB💰🚀,https://www.youtube.com/watch?v=EBoRzwAzcUQ,995K views,1 year ago,    15:16  
Naya घर कितना Complete Hogya💰❤️,https://www.youtube.com/watch?v=HI5jWIDsRRI,967K views,1 year ago,    17:17  
Headphones Challenge😂😂,https://www.youtube.com/watch?v=o8Qr4UZFBX0,908K views,1 year ago,    16:21  
Chandigarh Se Aate Hue Fortuner Me Badi Dikkat Aaagyi😤,https://www.youtube.com/watch?v=a4SaTyRpBTQ,663K views,1 year ago,    8:32  
My First Music Video Shoot😎in Chandigarh Film City❤️,https://www.youtube.com/watch?v=QEtJ3xpzVLE,1M views,1 year ago,    11:44  
